,id,retweet_count,favorite_count
6353,874296783580663808,4187,26174
6354,874057562936811520,4026,22759
6355,874012996292530176,10659,34870
6356,873580283840344065,4023,24382
6357,873337748698140672,1618,0
6358,873213775632977920,1618,7307
6359,872967104147763200,5508,27552
6360,872820683541237760,3771,14809
6361,872668790621863937,28,0
6362,872620804844003328,3784,20924
6363,872486979161796608,9197,40968
6364,872261713294495745,6470,34483
6365,872122724285648897,8304,34698
6366,871879754684805121,11484,38347
6367,871762521631449091,3559,20430
6368,871515927908634625,3534,20389
6369,871166179821445120,5821,0
6370,871102520638267392,5613,21102
6371,871032628920680449,3894,22862
6372,870804317367881728,6376,33978
6373,870726314365509632,3,120
6374,870656317836468226,2720,12563
6375,870374049280663552,26941,83564
6376,870308999962521604,4264,22059
6377,870063196459192321,8592,37095
6378,869772420881756160,10340,42917
6379,869702957897576449,6514,28593
6380,869596645499047938,3224,16191
6381,869227993411051520,3907,20712
6382,868880397819494401,14973,66545
6383,868639477480148993,2166,0
6384,868622495443632128,5954,27635
6385,868552278524837888,2166,10331
6386,867900495410671616,4318,24552
6387,867774946302451713,7577,34530
6388,867421006826221569,2604,16439
6389,867072653475098625,130,0
6390,867051520902168576,8164,32802
6391,866720684873056260,5011,20468
6392,866686824827068416,3620,19710
6393,866450705531457537,36587,124519
6394,866334964761202691,15045,53660
6395,866094527597207552,8685,0
6396,865718153858494464,5824,26124
6397,865359393868664832,5212,27033
6398,865006731092295680,7987,28577
6399,864873206498414592,9099,33016
6400,864279568663928832,3175,14940
6401,864197398364647424,9352,30859
6402,863907417377173506,4317,21091
6403,863553081350529029,4348,15641
6404,863471782782697472,2587,0
6405,863432100342583297,5514,24349
6406,863427515083354112,101,2313
6407,863079547188785154,1150,8957
6408,863062471531167744,2587,8757
6409,862831371563274240,5308,19649
6410,862722525377298433,3701,17496
6411,862457590147678208,5198,21071
6412,862096992088072192,24406,76585
6413,861383897657036800,11215,37026
6414,861288531465048066,4371,17659
6415,861005113778896900,3997,17181
6416,860981674716409858,2263,0
6417,860924035999428608,853,0
6418,860563773140209665,2263,7717
6419,860524505164394496,5538,24256
6420,860276583193509888,3647,18806
6421,860184849394610176,6139,17163
6422,860177593139703809,32436,0
6423,859924526012018688,4301,20102
6424,859851578198683649,3677,15834
6425,859607811541651456,1653,19130
6426,859196978902773760,31825,92740
6427,859074603037188101,14315,34943
6428,858860390427611136,8558,0
6429,858843525470990336,3658,16025
6430,858471635011153920,5094,22183
6431,858107933456039936,3065,16229
6432,857989990357356544,2722,16634
6433,857746408056729600,11197,35363
6434,857393404942143489,1720,6115
6435,857263160327368704,4780,20653
6436,857214891891077121,20,238
6437,857062103051644929,179,0
6438,857029823797047296,4230,19565
6439,856602993587888130,11313,0
6440,856543823941562368,3051,16853
6441,856526610513747968,1991,12230
6442,856330835276025856,717,0
6443,856288084350160898,16,535
6444,856282028240666624,6685,28631
6445,855862651834028034,28,362
6446,855860136149123072,1098,5119
6447,855857698524602368,2245,12257
6448,855851453814013952,18730,47075
6449,855818117272018944,5775,27564
6450,855459453768019968,8746,31095
6451,855245323840757760,6356,0
6452,855138241867124737,49,0
6453,854732716440526848,6504,23751
6454,854482394044301312,7348,30533
6455,854365224396361728,5012,19671
6456,854120357044912130,8007,33279
6457,854010172552949760,3355,16867
6458,853760880890318849,6210,29848
6459,853639147608842240,10886,36468
6460,853299958564483072,3820,16226
6461,852936405516943360,2169,0
6462,852912242202992640,1976,9461
6463,852672615818899456,2306,15625
6464,852553447878664193,3775,17162
6465,852311364735569921,10650,34712
6466,852226086759018497,7352,20963
6467,852189679701164033,1701,12009
6468,851953902622658560,10391,0
6469,851861385021730816,23,0
6470,851591660324737024,3732,17009
6471,851464819735769094,7623,25493
6472,851224888060895234,6179,21707
6473,850753642995093505,10048,32683
6474,850380195714523136,2821,13727
6475,850333567704068097,361,3590
6476,850145622816686080,4133,17189
6477,850019790995546112,5308,21550
6478,849776966551130114,8236,32095
6479,849668094696017920,5377,0
6480,849412302885593088,3393,16732
6481,849336543269576704,2046,12051
6482,849051919805034497,9251,44749
6483,848690551926992896,4681,26621
6484,848324959059550208,4997,26149
6485,848213670039564288,812,8637
6486,848212111729840128,3343,17277
6487,847978865427394560,3538,0
6488,847971574464610304,466,0
6489,847962785489326080,5565,24823
6490,847842811428974592,1466,5810
6491,847617282490613760,456,7420
6492,847606175596138505,3671,19835
6493,847251039262605312,4654,21616
6494,847157206088847362,6368,21160
6495,847116187444137987,3472,22682
6496,846874817362120707,4277,21273
6497,846514051647705089,12649,47378
6498,846505985330044928,3378,14996
6499,846153765933735936,9876,33682
6500,846139713627017216,10711,32678
6501,846042936437604353,3140,16957
6502,845812042753855489,9548,31094
6503,845677943972139009,5217,26640
6504,845397057150107648,1992,8092
6505,845306882940190720,5878,24759
6506,845098359547420673,8391,0
6507,844979544864018432,2828,14472
6508,844973813909606400,3515,16075
6509,844704788403113984,11313,41196
6510,844580511645339650,3427,17505
